#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Fen-1039|s__Fen-1039	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__JAFMJV01	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__JAFMJV01|s__JAFMJV01	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Palsa-1033	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Palsa-1033|s__Palsa-1033	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__SPCO01	3
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__SPCO01|s__SPCO01	3
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__UBA5189	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__UBA5189|s__UBA5189	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E|g__3-1-20CM-2-70-9	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E|g__3-1-20CM-2-70-9|s__3-1-20CM-2-70-9	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01	4
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01	4
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01|g__QHBO01	4
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01|g__QHBO01|s__QHBO01	4
d__Bacteria|p__Chloroflexota|c__UBA2235	1
d__Bacteria|p__Chloroflexota|c__UBA2235|o__UBA12225	1
d__Bacteria|p__Chloroflexota|c__UBA2235|o__UBA12225|f__UBA12225	1
d__Bacteria|p__Chloroflexota|c__UBA2235|o__UBA12225|f__UBA12225|g__UBA12225	1
d__Bacteria|p__Chloroflexota|c__UBA2235|o__UBA12225|f__UBA12225|g__UBA12225|s__UBA12225	1
d__Bacteria|p__Chloroflexota|c__UBA6077	2
d__Bacteria|p__Chloroflexota|c__UBA6077|o__UBA6077	2
d__Bacteria|p__Chloroflexota|c__UBA6077|o__UBA6077|f__CF-72	2
d__Bacteria|p__Chloroflexota|c__UBA6077|o__UBA6077|f__CF-72|g__CF-72	2
d__Bacteria|p__Chloroflexota|c__UBA6077|o__UBA6077|f__CF-72|g__CF-72|s__CF-72	2
